Deposit number,Lat.,Long.,Age (Ma),Erosion rate (km/My) ,Ind. depth e-rate (km/My),Modern MAP (mm),Slope (o) (90m),Slope (o) (10km),Frequency
293,43.093,-111.32,50,0.04,-,468.60,34.35,14.27711963,1
294,46.017,-112.51,60.5,0.03,-,389.80,0.00,9.156677134,2
295,47.026,-112.36,46,0.04,-,386.12,18.10,20.18368581,2
296,32.846,-108.09,63.5,0.03,-,409.00,27.90,10.35114045,4
297,32.79,-108.07,55.5,0.04,-,409.00,13.18,12.15211182,4
298,32.633,-108.37,55.5,0.04,-,420.48,0.72,6.858284119,4
299,40.547,-117.13,38,0.05,-,259.20,28.91,12.7419009,3
300,40.688,-117.08,38,0.05,-,259.20,5.40,8.464027973,3
301,40.267,-117.75,29,0.07,-,225.88,23.67,12.39248069,5
302,29.805,-104.4,60,0.03,0.04,303.00,15.79,8.365591454,1
303,40.529,-112.15,37,0.05,0.07,452.16,25.83,20.45965289,2
304,38.481,-113.3,28,0.07,-,266.04,21.14,12.56894163,1
305,40.625,-111.38,33,0.06,0.03,597.80,2.81,9.119049242,2
306,39.858,-112.12,35.5,0.06,-,363.00,4.90,6.848659862,2
307,48.198,-120.98,21,0.10,-,1866.50,35.22,24.76249224,7
308,46.356,-122.08,16.5,0.12,-,2332.60,30.96,21.29405246,2
309,47.5,-121.37,25,0.08,-,1747.60,37.84,29.05781004,5
310,47.678,-121.64,18,0.11,-,1866.50,30.75,20.0160787,5
311,48.009,-121.5,28,0.07,-,1866.50,26.85,33.97658492,6
312,43.883,-109.31,40,0.05,-,495.20,6.84,24.91937548,2
313,44.029,-109.68,40,0.05,-,495.20,32.47,26.89455013,2
314,44.03,-109.6,28.5,0.07,-,495.20,33.75,29.19588246,2
